,mar./2019,abr./2019,mai./2019,jun./2019,jul./2019,ago./2019,set./2019,out./2019,nov./2019,dez./2019,jan./2020,fev./2020,mar./2020,abr./2020,mai./2020,jun./2020,jul./2020,ago./2020,set./2020,out./2020,nov./2020,dez./2020,jan./2021,fev./2021,mar./2021,abr./2021,mai./2021,jun./2021,jul./2021,ago./2021,set./2021,out./2021,nov./2021,dez./2021,jan./2022,fev./2022,mar./2022,abr./2022,mai./2022,jun./2022,jul./2022,ago./2022,set./2022,out./2022,nov./2022,dez./2022,jan./2023,fev./2023,mar./2023
Clientes Início de Mês,0,1,2,3,5,5,6,6,9,10,11,13,15,17,18,19,20,21,23,26,28,28,30,33,34,37,41,45,47,55,61,68,76,80,82,85,89,89,93,99,103,104,109,112,113,120,123,125,125
Clientes Novos,1,1,1,2,0,1,0,3,1,1,2,2,2,1,1,1,2,5,4,3,0,5,3,1,3,4,4,2,9,6,7,8,4,2,3,5,3,5,8,4,4,8,4,3,8,5,4,2,5
Churn de Clientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,2,0,3,3,1,2,1,2,2,2,2
Clientes Final de Mês,1,2,3,5,5,6,6,9,10,11,13,15,17,18,19,20,21,23,26,28,28,30,33,34,37,41,45,47,55,61,68,76,80,82,85,89,89,93,99,103,104,109,112,113,120,123,125,125,128
Churn (%),,,,,,,,,,,,,,,,,"5,00%","14,29%","4,35%","3,85%","0,00%","10,71%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,13%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,18%","3,37%","1,12%","2,15%","0,00%","2,91%","2,88%","0,92%","1,79%","0,88%","1,67%","1,63%","1,60%","1,60%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,18%",,,,,,,,,,,,"1,57%",,,
Pagantes,1,2,3,5,5,5,5,5,5,5,5,5,8,8,8,10,11,14,16,19,20,22,23,26,28,31,33,38,41,44,47,48,56,65,64,65,66,71,77,77,84,82,81,84,91,92,92,94,96
Empresas,1,2,2,2,8,11,15,16,19,21,23,27,33,39,43,45,47,51,53,57,65,85,105,122,123,135,153,175,191,218,238,270,282,345,360,370,396,406,434,463,471,502,520,543,571,576,616,676,796
Vidas,102,603,1.269,2.484,5.396,11.022,11.544,19.455,26.402,29.405,35.885,37.013,49.127,52.708,54.986,58.734,66.974,68.974,70.854,75.672,83.225,104.875,108.875,121.875,163.675,200.000,249.503,277.435,335.767,384.965,767.077,833.485,908.962,1.133.814,1.145.504,1.292.938,1.341.255,1.526.069,1.615.239,1.736.415,2.137.380,2.191.383,1.973.894,2.047.624,2.102.054,2.169.521,2.216.419,2.376.656,2.416.456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
