,dez./2021,jan./2022,fev./2022,mar./2022,abr./2022,mai./2022,jun./2022,jul./2022,ago./2022,set./2022,out./2022,nov./2022,dez./2022,jan./2023,fev./2023,mar./2023,abr./2023,mai./2023,jun./2023,jul./2023,ago./2023,set./2023,out./2023,nov./2023,dez./2023,jan./2024,fev./2024,mar./2024,abr./2024,mai./2024,jun./2024,jul./2024,ago./2024,set./2024,out./2024,nov./2024,dez./2024,jan./2025,fev./2025,mar./2025,abr./2025,mai./2025,jun./2025,jul./2025,ago./2025,set./2025,out./2025,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026,jun./2026,jul./2026,ago./2026,set./2026,out./2026,nov./2026,dez./2026
,Mês 1,Mês 2,Mês 3,Mês 4,Mês 5,Mês 6,Mês 7,Mês 8,Mês 9,Mês 10,Mês 11,Mês 12,Mês 13,Mês 14,Mês 15,Mês 16,Mês 17,Mês 18,Mês 19,Mês 20,Mês 21,Mês 22,Mês 23,Mês 24,Mês 25,Mês 26,Mês 27,Mês 28,Mês 29,Mês 30,Mês 31,Mês 32,Mês 33,Mês 34,Mês 35,Mês 36,Mês 37,Mês 38,Mês 39,Mês 40,Mês 41,Mês 42,Mês 43,Mês 44,Mês 45,Mês 46,Mês 47,Mês 48,Mês 49,Mês 50,Mês 51,Mês 52,Mês 53,Mês 54,Mês 55,Mês 56,Mês 57,Mês 58,Mês 59,Mês 60,Mês 61
Receita Bruta,R$ 114.292,R$ 120.890,R$ 128.250,R$ 135.369,R$ 143.320,R$ 152.137,R$ 160.738,R$ 175.196,R$ 189.005,R$ 204.896,R$ 222.299,R$ 240.609,R$ 209.767,R$ 210.722,R$ 230.339,R$ 245.683,R$ 260.085,R$ 273.810,R$ 287.068,R$ 300.036,R$ 323.325,R$ 333.578,R$ 348.137,R$ 370.924,R$ 382.380,R$ 406.742,R$ 434.549,R$ 476.393,R$ 490.277,R$ 535.348,R$ 553.356,R$ 601.739,R$ 622.195,R$ 674.728,R$ 694.837,R$ 748.989,R$ 770.402,R$ 825.958,R$ 871.669,R$ 920.235,R$ 970.814,R$ 1.022.868,R$ 1.076.061,R$ 1.130.182,R$ 1.185.109,R$ 1.240.769,R$ 1.297.128,R$ 1.354.169,R$ 1.411.890,R$ 1.470.299,R$ 1.529.407,R$ 1.589.230,R$ 1.649.783,R$ 1.707.405,R$ 1.765.685,R$ 1.824.642,R$ 1.884.293,R$ 1.944.658,R$ 2.005.755,R$ 2.067.602,R$ 2.130.221
Crescimento MoM,,9%,6%,6%,5%,6%,6%,5%,7%,9%,9%,9%,-11%,3%,8%,7%,6%,5%,5%,5%,6%,5%,4%,5%,5%,5%,5%,7%,6%,7%,6%,7%,6%,6%,5%,6%,5%,6%,6%,6%,6%,6%,5%,5%,5%,5%,5%,5%,4%,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%,3%,3%
MRR,R$ 106.547,R$ 115.890,R$ 123.250,R$ 130.369,R$ 137.320,R$ 146.137,R$ 154.738,R$ 163.196,R$ 175.005,R$ 190.896,R$ 208.299,R$ 226.609,R$ 201.467,R$ 207.722,R$ 224.339,R$ 239.683,R$ 254.085,R$ 267.810,R$ 281.068,R$ 294.036,R$ 310.325,R$ 325.578,R$ 340.137,R$ 357.924,R$ 374.380,R$ 393.742,R$ 414.549,R$ 444.393,R$ 470.277,R$ 503.348,R$ 533.356,R$ 569.739,R$ 602.195,R$ 640.728,R$ 674.837,R$ 714.989,R$ 750.402,R$ 791.958,R$ 837.669,R$ 886.235,R$ 936.814,R$ 988.868,R$ 1.042.061,R$ 1.096.182,R$ 1.151.109,R$ 1.206.769,R$ 1.263.128,R$ 1.320.169,R$ 1.377.890,R$ 1.436.299,R$ 1.495.407,R$ 1.555.230,R$ 1.615.783,R$ 1.673.405,R$ 1.731.685,R$ 1.790.642,R$ 1.850.293,R$ 1.910.658,R$ 1.971.755,R$ 2.033.602,R$ 2.096.221
Setup/Serviços,R$ 7.745,R$ 5.000,R$ 5.000,R$ 5.000,R$ 6.000,R$ 6.000,R$ 6.000,R$ 12.000,R$ 14.000,R$ 14.000,R$ 14.000,R$ 14.000,R$ 8.300,R$ 3.000,R$ 6.000,R$ 6.000,R$ 6.000,R$ 6.000,R$ 6.000,R$ 6.000,R$ 13.000,R$ 8.000,R$ 8.000,R$ 13.000,R$ 8.000,R$ 13.000,R$ 20.000,R$ 32.000,R$ 20.000,R$ 32.000,R$ 20.000,R$ 32.000,R$ 20.000,R$ 34.000,R$ 20.000,R$ 34.000,R$ 20.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000,R$ 34.000
Receita Líquida,R$ 114.162,R$ 120.749,R$ 128.100,R$ 135.210,R$ 143.152,R$ 151.959,R$ 160.549,R$ 174.997,R$ 188.792,R$ 204.664,R$ 222.045,R$ 240.332,R$ 209.583,R$ 210.528,R$ 230.131,R$ 245.463,R$ 259.854,R$ 273.570,R$ 286.820,R$ 299.780,R$ 323.060,R$ 333.306,R$ 347.857,R$ 370.636,R$ 382.085,R$ 406.439,R$ 434.236,R$ 476.068,R$ 489.941,R$ 534.999,R$ 552.993,R$ 601.362,R$ 621.804,R$ 674.323,R$ 694.418,R$ 748.555,R$ 769.954,R$ 825.495,R$ 871.190,R$ 919.740,R$ 970.303,R$ 1.022.342,R$ 1.075.518,R$ 1.129.623,R$ 1.184.533,R$ 1.240.178,R$ 1.296.520,R$ 1.353.545,R$ 1.411.250,R$ 1.469.643,R$ 1.528.735,R$ 1.588.541,R$ 1.649.079,R$ 1.706.686,R$ 1.764.952,R$ 1.823.895,R$ 1.883.533,R$ 1.943.884,R$ 2.004.967,R$ 2.066.801,R$ 2.129.406
Deduções,R$ 130,R$ 141,R$ 150,R$ 159,R$ 168,R$ 178,R$ 189,R$ 199,R$ 214,R$ 233,R$ 254,R$ 276,R$ 184,R$ 195,R$ 208,R$ 220,R$ 230,R$ 240,R$ 248,R$ 257,R$ 265,R$ 273,R$ 280,R$ 288,R$ 295,R$ 303,R$ 313,R$ 325,R$ 336,R$ 350,R$ 362,R$ 377,R$ 390,R$ 405,R$ 419,R$ 434,R$ 448,R$ 463,R$ 478,R$ 494,R$ 510,R$ 527,R$ 543,R$ 559,R$ 575,R$ 592,R$ 608,R$ 624,R$ 640,R$ 656,R$ 672,R$ 689,R$ 705,R$ 719,R$ 733,R$ 746,R$ 760,R$ 774,R$ 788,R$ 802,R$ 816
IOF,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0
Custos,R$ 30.545,R$ 32.199,R$ 33.052,R$ 35.481,R$ 35.715,R$ 34.276,R$ 39.283,R$ 44.319,R$ 38.209,R$ 42.003,R$ 55.421,R$ 51.944,R$ 44.549,R$ 45.173,R$ 51.186,R$ 53.879,R$ 53.951,R$ 57.846,R$ 61.160,R$ 64.166,R$ 65.196,R$ 71.380,R$ 73.074,R$ 74.039,R$ 80.171,R$ 79.901,R$ 81.132,R$ 83.945,R$ 86.843,R$ 88.479,R$ 91.326,R$ 95.858,R$ 97.565,R$ 100.632,R$ 101.145,R$ 105.721,R$ 108.703,R$ 109.340,R$ 111.281,R$ 117.211,R$ 117.992,R$ 122.733,R$ 125.996,R$ 130.787,R$ 132.822,R$ 138.800,R$ 139.600,R$ 145.611,R$ 151.577,R$ 155.079,R$ 161.076,R$ 167.029,R$ 170.518,R$ 172.267,R$ 179.226,R$ 182.451,R$ 186.902,R$ 193.849,R$ 197.062,R$ 201.500,R$ 208.435
Cloud,R$ 12.350,R$ 13.433,R$ 14.286,R$ 15.111,R$ 15.917,R$ 16.939,R$ 12.368,R$ 17.417,R$ 11.279,R$ 11.719,R$ 24.144,R$ 26.267,R$ 22.500,R$ 24.354,R$ 26.025,R$ 27.488,R$ 28.790,R$ 29.970,R$ 31.054,R$ 32.067,R$ 33.097,R$ 34.066,R$ 34.990,R$ 35.955,R$ 36.872,R$ 37.832,R$ 39.063,R$ 40.646,R$ 42.059,R$ 43.695,R$ 45.312,R$ 47.089,R$ 48.796,R$ 50.633,R$ 52.376,R$ 54.237,R$ 55.989,R$ 57.856,R$ 59.797,R$ 61.782,R$ 63.793,R$ 65.819,R$ 67.852,R$ 69.888,R$ 71.923,R$ 73.956,R$ 75.986,R$ 78.012,R$ 80.033,R$ 82.050,R$ 84.062,R$ 86.070,R$ 88.074,R$ 89.823,R$ 91.567,R$ 93.307,R$ 95.043,R$ 96.775,R$ 98.503,R$ 100.226,R$ 101.946
